id	Writing_Applications	Language_Conventions	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
3465	3	3	210	11	19.09090909090909	5.79	67.08	9.1	10.7	10.6	8.59	12.0	7.18	9.0	4.755555555555555	12.68	2.5	3.9102211640211646	144	16	843	863	9	189	265	21.0	0.05	1.4
3466	3	3	298	18	16.555555555555557	7.29	62.07	9.0	11.4	10.2	9.22	6.625	7.91	9.0	4.714945412311266	17.5	2.9	4.548999767711964	171	29	1136	1191	14	246	375	17.6	0.06	1.5
3467	4	4	581	33	17.606060606060606	6.19	69.21	8.3	10.3	9.9	8.88	11.6	6.28	9.0	4.1599803921568625	34.87	2.4	4.181104575163399	369	42	2300	2374	27	510	721	18.9	0.05	1.4
3468	4	4	421	18	23.38888888888889	4.85	51.11	13.2	13.8	15.2	9.75	10.666666666666666	7.48	14.0	5.820092557848655	25.78	3.0	6.781937502605795	267	45	1702	1755	13	369	540	28.4	0.04	1.5
3469	4	4	550	23	23.91304347826087	4.69	69.45	10.3	9.6	13.2	8.25	14.5	7.15	10.0	5.477687242798353	31.99	2.3	4.173474074074074	378	23	2114	2178	18	486	645	27.0	0.04	1.3
3470	4	4	640	36	17.77777777777778	6.22	-110.59	75.3	19.3	93.1	8.55	6.857142857142857	14.8	76.0	28.048490230905855	36.3	3.8	30.56343505032563	437	24	2392	2471	3	563	846	187.7	0.01	1.5
3471	3	3	405	19	21.31578947368421	5.28	74.42	8.4	8.7	10.0	7.02	6.571428571428571	6.65	7.0	4.663144774011299	22.53	2.1	2.743763276836159	272	15	1482	1534	16	354	462	22.1	0.05	1.3
3472	3	2	229	10	22.9	4.63	-130.85	85.2	0.0	107.2	9.2	57.0	17.05	0.0	32.09129629629629	13.88	3.3	35.693070370370364	174	11	932	945	1	216	299	216.0	0.0	1.4
3473	2	2	41	3	13.666666666666666	7.89	67.45	6.9	9.7	8.7	10.66	6.5	9.37	9.0	4.437459459459459	2.76	2.3	4.489565765765766	22	4	184	188	3	37	56	12.3	0.08	1.5
3474	4	4	565	37	15.27027027027027	7.54	64.61	8.0	10.6	8.6	8.87	8.142857142857142	6.34	8.0	3.646831611570248	33.99	2.4	3.725346280991735	356	55	2233	2314	32	484	703	15.1	0.07	1.5
3475	2	3	220	10	22.0	5.24	-6.01	37.2	0.0	46.5	9.19	7.833333333333334	10.46	38.0	14.876731182795698	12.44	3.4	15.903739784946236	134	11	811	847	2	186	268	93.0	0.01	1.4
3476	3	4	485	19	25.526315789473685	4.27	50.4	13.5	13.6	15.7	10.51	11.166666666666666	6.75	14.0	5.667216513761467	30.75	3.5	7.1224925382263	294	50	2044	2093	15	436	674	29.1	0.03	1.5
3477	3	2	441	11	40.09090909090909	2.68	-13.93	40.2	16.8	49.7	9.08	29.0	10.52	41.0	15.57824875930521	26.07	3.3	16.224246153846153	319	23	1748	1775	4	403	569	100.8	0.01	1.4
3478	2	3	433	23	18.82608695652174	5.72	75.44	8.0	8.2	9.1	6.91	7.142857142857142	5.94	8.0	4.179430633941461	25.03	2.0	2.5470668329177046	320	15	1672	1704	19	401	519	21.1	0.05	1.3
3479	3	3	198	12	16.5	6.67	70.53	7.8	10.6	8.8	8.12	9.0	7.11	9.0	4.493327272727273	11.78	2.5	4.524254090909091	131	17	780	802	10	176	255	17.6	0.06	1.4
3480	3	3	317	14	22.642857142857142	4.79	-18.83	40.1	18.9	48.3	9.37	11.8	10.73	41.0	15.476013698630135	19.21	3.5	16.70324292237443	214	23	1283	1308	3	292	424	97.3	0.01	1.5
3481	4	4	290	12	24.166666666666668	4.46	66.81	11.3	10.7	14.3	8.6	8.5	6.89	9.0	5.620619047619048	17.41	2.4	4.623568588137011	212	16	1160	1185	9	266	353	29.6	0.03	1.3
3482	3	3	305	12	25.416666666666668	4.38	-186.68	106.6	0.0	136.4	11.05	11.0	18.59	11.0	39.71642066420664	18.91	3.6	45.73634760147601	203	19	1255	1287	1	271	391	271.0	0.0	1.4
3483	4	4	521	24	21.708333333333332	5.06	64.75	10.0	11.0	12.2	9.35	8.833333333333334	6.25	9.0	4.696403004291845	31.94	2.7	4.529708497854077	343	38	2116	2174	20	466	660	23.3	0.04	1.4
3484	3	3	255	11	23.181818181818183	4.58	58.35	12.5	10.7	14.5	8.83	8.333333333333334	7.77	13.0	5.887011075949367	15.62	2.6	4.639397046413501	181	14	1043	1063	8	237	322	29.6	0.03	1.4
3485	4	4	562	27	20.814814814814813	5.28	64.24	10.2	11.2	12.7	9.7	12.0	7.48	12.0	5.2752001145147425	34.67	2.7	5.193882259757611	365	42	2295	2360	21	499	709	23.8	0.04	1.4
3486	1	3	113	5	22.6	4.63	66.47	9.4	10.8	9.6	7.25	14.75	6.9	10.0	4.6808962962962966	6.8	2.3	4.50827925925926	82	9	457	463	5	108	146	21.6	0.05	1.4
3487	4	4	571	45	12.688888888888888	9.09	65.62	7.6	9.8	7.4	7.94	8.166666666666666	7.03	8.0	3.94151573456969	33.46	2.3	3.5354863981454656	347	48	2196	2278	35	493	720	14.1	0.07	1.5
3488	3	2	402	17	23.647058823529413	4.78	58.25	12.5	10.9	14.5	8.48	11.0	6.66	13.0	5.674247191011236	23.39	2.7	4.8776543071161065	270	22	1546	1592	12	356	494	29.7	0.03	1.4
3489	3	3	221	11	20.09090909090909	5.56	57.81	10.6	11.9	12.2	9.98	7.571428571428571	6.73	11.0	4.831095238095237	13.9	2.9	6.127162811791384	137	21	921	946	9	196	289	21.8	0.05	1.5
3490	4	3	366	13	28.153846153846153	3.85	63.97	12.4	9.6	16.0	8.72	10.6	6.95	9.0	5.91172098765432	21.48	2.6	5.358175061728394	242	13	1420	1462	10	324	436	32.4	0.03	1.3
3491	2	2	120	6	20.0	5.45	74.73	8.3	9.9	9.7	7.08	8.5	6.75	10.0	4.543992660550458	6.89	2.2	3.1874829357798156	87	7	458	469	5	109	145	21.8	0.05	1.3
3492	4	2	767	28	27.392857142857142	4.01	64.88	12.0	10.3	13.5	6.34	8.333333333333334	6.75	14.0	5.9065056326958345	41.51	2.3	4.184313544668589	578	35	2753	2826	22	694	896	31.5	0.03	1.3
3493	2	2	97	6	16.166666666666668	6.98	82.34	5.3	8.8	6.4	6.84	7.166666666666666	7.47	7.0	3.76	5.54	1.3	1.3403705426356591	72	6	366	377	6	86	108	14.3	0.07	1.3
3494	2	2	328	21	15.619047619047619	6.98	44.85	11.5	7.6	7.7	6.44	5.875	7.06	8.0	4.177246733449477	18.1	3.7	1.5787493031358881	230	10	1188	1232	16	287	483	17.9	0.06	1.7
3495	4	4	362	20	18.1	6.39	68.81	8.5	10.3	9.1	7.49	8.5	6.18	9.0	4.202191949838188	20.15	2.3	3.3846648867313913	233	25	1319	1372	16	309	427	19.3	0.05	1.4
3496	4	3	420	16	26.25	4.29	40.21	15.3	13.2	14.9	8.31	15.5	7.34	15.0	6.162716216216216	24.15	3.7	6.115873873873873	277	37	1593	1644	12	370	584	30.8	0.03	1.6
3497	3	3	408	18	22.666666666666668	4.79	81.67	7.7	8.7	9.6	6.33	17.0	6.41	10.0	4.533379032258065	22.58	1.8	2.5589591397849456	299	15	1495	1537	16	372	463	23.3	0.04	1.2
3498	4	4	386	13	29.692307692307693	3.58	44.48	19.9	11.5	24.6	8.08	13.75	7.77	8.0	8.8014301543332	22.73	2.5	7.49635781559161	295	15	1522	1547	7	361	463	51.6	0.02	1.3
3499	2	2	465	7	66.42857142857143	1.58	-60.52	58.1	22.6	73.8	10.47	14.5	12.13	59.0	21.92945454545454	30.0	3.1	25.27584848484848	345	35	2013	2042	3	440	600	146.7	0.01	1.4
3500	2	2	183	1	183.0	0.53	-76.38	68.4	0.0	87.0	6.81	52.0	14.1	0.0	26.366268156424578	10.55	2.3	28.24933072625698	151	4	707	718	1	179	211	179.0	0.01	1.2
3501	4	4	471	20	23.55	4.8	60.18	11.8	12.1	13.5	8.19	12.0	7.82	12.0	5.83122206235012	27.41	2.7	5.368339856115108	313	37	1811	1866	15	417	584	27.8	0.04	1.4
3502	3	3	377	19	19.842105263157894	5.56	76.45	7.6	10.5	8.6	6.67	10.166666666666666	6.25	7.0	4.329389404884761	21.27	2.2	3.4066238046095627	268	28	1413	1448	17	342	459	20.1	0.05	1.3
3503	3	3	205	12	17.083333333333332	6.35	52.39	10.6	13.3	10.8	10.27	7.625	6.84	11.0	4.587672340425531	13.37	3.3	7.062189787234043	120	32	893	910	10	188	301	18.8	0.05	1.6
3504	4	3	392	22	17.818181818181817	6.08	86.33	5.9	7.3	6.1	4.59	10.4	5.72	6.0	3.8610793180133434	20.2	1.6	1.099732394366197	295	10	1338	1375	19	355	439	18.7	0.05	1.2
3505	3	2	220	11	20.0	5.29	74.73	8.3	8.5	9.5	6.73	11.4	6.57	7.0	4.52395238095238	12.27	1.8	2.5237444444444446	165	8	811	835	9	196	246	21.8	0.05	1.3
3506	4	4	403	21	19.19047619047619	5.69	66.98	9.2	11.2	10.5	8.36	11.6	6.13	9.0	4.415474029165983	23.92	2.6	4.440299557594626	275	34	1585	1628	17	359	514	21.1	0.05	1.4
3507	4	4	394	24	16.416666666666668	6.67	79.6	6.4	8.4	8.1	7.77	7.142857142857142	6.92	8.0	4.002319422150883	23.42	1.9	2.53410101658641	274	18	1554	1594	21	356	477	17.0	0.06	1.3
3508	3	3	416	22	18.90909090909091	5.93	67.69	8.9	10.7	9.9	7.95	7.7142857142857135	6.97	8.0	4.6745962761126245	24.15	2.6	4.113232031486528	262	32	1595	1644	18	367	525	20.4	0.05	1.4
3509	5	4	732	41	17.853658536585368	6.7	72.16	7.2	10.2	8.8	8.35	8.5	6.4	9.0	3.852942345380794	41.0	2.3	3.600789745225833	438	56	2648	2791	37	593	840	16.0	0.06	1.4
3510	3	2	306	1	306.0	0.34	-188.37	109.3	0.0	140.1	9.43	56.0	20.78	0.0	41.34754448398576	18.41	3.0	46.24396512455516	210	14	1221	1253	1	281	372	281.0	0.0	1.3
3511	3	3	399	18	22.166666666666668	4.88	72.09	9.3	9.4	10.8	7.14	13.75	6.01	10.0	4.725848087431693	22.9	2.0	3.177576174863388	292	18	1524	1559	15	366	464	24.4	0.04	1.3
3512	4	3	486	18	27.0	4.0	55.81	13.4	11.1	15.8	8.89	11.4	7.41	14.0	6.222986796054723	29.6	2.8	5.414068915049317	330	27	1979	2015	14	449	625	32.1	0.03	1.4
3513	3	3	358	24	14.916666666666666	7.69	71.04	7.6	9.2	8.2	7.36	7.2857142857142865	6.84	8.0	4.061406926406926	20.21	2.3	2.610977777777778	234	20	1323	1376	18	308	431	17.1	0.06	1.4
3514	4	3	425	7	60.714285714285715	1.72	-46.91	52.9	20.9	65.9	9.02	28.0	12.34	53.0	20.413	25.78	3.3	22.694858333333336	305	29	1730	1755	3	400	557	133.3	0.01	1.4
3515	3	4	311	14	22.214285714285715	5.04	54.76	11.8	12.2	13.6	10.04	10.166666666666666	7.87	12.0	5.69294239094239	19.27	3.2	5.537310622710622	187	28	1273	1312	11	273	414	24.8	0.04	1.5
3516	4	3	593	30	19.766666666666666	5.49	-185.66	106.2	0.0	134.6	9.55	5.625	18.81	0.0	39.60974074074073	35.45	3.2	44.45494444444444	403	19	2359	2413	2	540	741	270.0	0.0	1.4
3517	2	4	108	8	13.5	8.25	69.72	8.1	9.4	10.5	9.63	6.428571428571429	6.61	9.0	4.181226086956521	6.51	2.5	3.830501739130435	69	6	427	443	5	92	131	18.4	0.05	1.4
3518	4	4	409	19	21.526315789473685	5.01	63.43	10.5	11.3	12.6	9.17	8.5	7.04	9.0	5.03009322493225	25.06	2.7	4.992916747967479	271	31	1663	1706	15	369	523	24.6	0.04	1.4
3519	4	3	588	34	17.294117647058822	6.31	77.57	7.2	9.0	7.7	6.33	5.666666666666667	6.39	7.0	4.229278195488721	32.6	2.1	2.4689992481203005	424	30	2164	2219	28	532	712	19.0	0.05	1.3
3520	4	4	571	9	63.44444444444444	1.67	-28.68	43.8	21.7	54.1	10.58	21.333333333333332	11.75	22.0	17.14768224299065	36.71	3.8	20.095811214953272	357	53	2462	2499	5	535	804	107.0	0.01	1.5
3521	4	4	367	19	19.31578947368421	5.78	67.79	8.8	11.2	10.2	8.3	6.75	6.93	9.0	4.543632716049382	21.7	2.6	4.641046913580247	248	32	1428	1477	16	324	461	20.3	0.05	1.4
3522	3	3	318	22	14.454545454545455	7.77	65.83	7.5	10.0	7.8	8.69	7.0	6.49	8.0	3.8163987364620935	19.26	2.3	3.7516225270758117	194	29	1269	1311	20	277	404	13.9	0.07	1.5
3523	4	4	631	24	26.291666666666668	4.29	55.92	13.4	11.7	15.6	8.31	14.0	7.17	14.0	6.0782058823529415	35.74	2.7	5.394903676470589	413	38	2345	2433	17	544	744	32.0	0.03	1.4
3524	4	4	375	21	17.857142857142858	6.46	60.75	9.5	10.7	9.8	8.47	8.833333333333334	7.12	10.0	4.604736938253561	21.81	2.8	3.812616879795396	238	30	1431	1485	17	322	476	18.9	0.05	1.5
3525	3	3	454	18	25.22222222222222	4.2	57.95	12.6	12.3	15.3	9.59	11.4	7.38	13.0	5.929	28.47	2.8	5.779404761904761	308	36	1902	1938	14	420	588	30.0	0.03	1.4
3526	3	3	329	15	21.933333333333334	4.85	81.16	7.9	8.8	9.7	6.33	10.4	5.84	6.0	4.440946975354741	18.54	1.7	2.3893124719940246	263	13	1242	1262	13	309	377	23.8	0.04	1.2
3527	4	3	459	16	28.6875	3.73	74.87	10.3	9.0	13.2	6.86	7.5	6.74	7.0	5.56042857142857	25.65	2.0	3.659428571428572	341	15	1707	1746	14	420	524	30.0	0.03	1.2
3528	4	4	572	26	22.0	5.0	64.44	10.1	10.1	12.8	9.64	11.6	6.05	10.0	4.654769585253456	34.61	2.5	4.263520084485407	360	31	2279	2356	21	496	690	23.6	0.04	1.4
3529	4	4	525	30	17.5	6.28	69.82	8.1	9.7	9.5	8.94	7.2857142857142865	6.14	9.0	4.125006464124111	32.33	2.4	3.773399095022624	339	34	2152	2201	26	476	669	18.3	0.05	1.4
3530	4	4	499	20	24.95	4.45	62.51	10.9	10.1	13.3	9.0	8.666666666666666	6.98	9.0	5.244671647873929	29.62	2.7	4.60088789566635	312	25	1941	2016	17	433	612	25.5	0.04	1.4
3531	4	4	684	25	27.36	4.12	59.77	11.9	10.9	14.6	9.06	8.333333333333334	7.6	8.0	5.801694980694981	40.53	2.7	5.169714510939512	434	39	2660	2759	21	592	824	28.2	0.04	1.4
3532	3	3	285	12	23.75	4.71	47.56	14.6	12.8	17.0	10.28	11.6	7.26	15.0	6.109061274509804	17.88	3.2	6.7907352941176455	180	23	1187	1217	8	255	379	31.9	0.03	1.5
3533	4	4	338	14	24.142857142857142	4.49	59.57	12.0	10.6	14.6	9.46	8.5	7.78	9.0	5.885708624708624	21.27	2.8	5.275444871794871	224	19	1422	1448	11	312	443	28.4	0.04	1.4
3534	3	4	457	14	32.642857142857146	3.24	-334.53	165.5	0.0	211.3	8.56	14.25	25.87	166.0	61.188941176470586	26.77	3.0	70.53754117647057	344	27	1785	1822	1	425	559	425.0	0.0	1.3
3535	3	3	451	19	23.736842105263158	4.47	80.04	8.3	8.3	9.5	5.29	8.5	6.66	9.0	4.9033473917869035	24.34	1.7	2.159150554938956	365	14	1628	1657	17	424	513	24.9	0.04	1.2
3536	3	4	275	16	17.1875	6.32	70.23	7.9	10.1	8.2	7.36	7.0	6.1	7.0	4.044857142857143	16.13	2.2	3.870634285714286	192	21	1074	1098	14	250	346	17.9	0.06	1.4
3537	4	4	630	34	18.529411764705884	6.13	50.67	11.3	12.1	12.2	10.73	12.4	6.71	11.0	4.566671890697206	40.4	3.3	5.872378929743488	372	66	2673	2750	27	553	865	20.5	0.05	1.6
3538	3	3	412	18	22.88888888888889	4.71	47.66	14.5	11.2	14.7	7.67	14.25	7.82	15.0	6.128348425196851	24.05	3.1	5.188009448818898	304	24	1602	1637	12	381	553	31.8	0.03	1.5
3539	4	4	964	37	26.054054054054053	4.2	61.5	11.3	12.0	13.4	9.0	11.6	6.96	12.0	5.468786977324735	58.92	2.8	5.341584744469872	634	80	3917	4011	33	874	1251	26.5	0.04	1.4
3540	3	3	461	27	17.074074074074073	6.31	78.59	6.8	8.8	8.0	7.02	7.2857142857142865	6.33	7.0	4.1829761027476575	26.41	2.0	2.838444236235393	316	23	1751	1798	23	413	555	18.0	0.06	1.3
3541	4	3	492	34	14.470588235294118	7.93	-10.24	40.9	16.2	51.2	7.39	5.625	11.15	41.0	16.48890758293839	26.19	2.9	16.152609478672982	350	21	1711	1783	4	422	560	105.5	0.01	1.3
3542	4	3	559	22	25.40909090909091	4.49	69.96	10.1	8.8	12.6	7.67	8.5	6.74	9.0	5.152439203354298	30.95	2.1	3.421166876310272	380	18	2025	2107	18	477	609	26.5	0.04	1.3
3543	3	3	247	7	35.285714285714285	3.02	47.16	20.9	10.7	25.8	6.0	17.666666666666668	7.72	11.0	9.211686681222707	13.27	2.1	7.494623580786024	201	7	883	903	4	229	276	57.3	0.02	1.2
3544	4	4	385	3	128.33333333333334	0.82	-238.78	124.6	0.0	159.3	12.27	31.5	21.17	125.0	46.01682165605095	23.24	4.0	54.692774522292986	216	36	1520	1582	1	314	476	314.0	0.0	1.5
3545	4	3	697	30	23.233333333333334	5.0	59.26	12.1	9.0	13.2	6.92	14.5	7.04	13.0	5.604863763066202	36.34	2.7	3.5304344250871083	463	21	2339	2474	20	574	794	28.7	0.03	1.4
3546	4	4	899	49	18.346938775510203	6.3	59.74	9.9	12.0	10.5	8.82	8.833333333333334	7.0	10.0	4.719538461538461	53.1	2.8	5.248578086174994	547	94	3490	3615	39	776	1153	19.9	0.05	1.5
3547	4	3	405	21	19.285714285714285	5.88	64.44	10.1	9.2	11.6	8.3	11.0	6.5	10.0	4.798238418079096	23.39	2.6	3.201004745762712	265	17	1544	1592	15	354	494	23.6	0.04	1.4
3548	3	4	391	22	17.772727272727273	6.13	69.31	8.3	11.1	9.4	8.59	7.7142857142857135	7.18	8.0	4.451901223647354	23.87	2.4	4.296908123249299	267	37	1591	1625	19	357	506	18.8	0.05	1.4
3549	4	3	377	13	29.0	3.88	-79.6	65.5	0.0	82.4	9.08	15.0	14.61	15.0	25.083865558912382	21.8	3.4	27.758170996978848	251	22	1436	1484	2	331	466	165.5	0.01	1.4
3550	4	4	630	35	18.0	6.16	77.37	7.2	9.5	8.5	6.96	7.142857142857142	6.6	7.0	4.276407242615251	35.31	1.9	2.6328575454208387	449	36	2330	2404	29	558	724	19.2	0.05	1.3
3551	3	3	779	26	29.96153846153846	3.55	54.7	13.9	11.5	14.6	6.86	11.0	6.92	7.0	6.206398395721925	44.31	2.6	5.211530232558138	564	47	2967	3016	22	731	994	33.2	0.03	1.4
3552	3	3	378	20	18.9	5.8	63.63	10.4	10.5	11.2	7.67	8.5	7.16	11.0	5.1308351487222446	21.81	2.6	3.768599329702555	259	23	1448	1485	14	341	477	24.4	0.04	1.4
3553	3	3	286	13	22.0	4.94	62.11	11.0	10.6	13.3	9.23	8.833333333333334	6.45	11.0	5.055378764478764	17.6	2.7	4.70474640926641	196	17	1171	1198	10	259	366	25.9	0.04	1.4
3554	3	4	372	21	17.714285714285715	5.98	67.59	8.9	11.4	9.2	7.43	6.25	5.69	9.0	4.1279163997977415	22.15	2.5	4.308778392044497	276	36	1485	1508	17	349	493	20.5	0.05	1.4
3555	4	4	605	25	24.2	4.5	62.01	11.1	10.5	11.5	6.91	14.25	6.72	11.0	5.20837745740498	33.9	2.4	4.251540847531673	417	35	2247	2308	21	545	737	26.0	0.04	1.4
3556	1	2	86	5	17.2	6.58	70.13	8.0	7.2	8.2	6.67	6.7	6.94	7.0	4.093666666666666	4.63	2.3	1.524461111111111	57	2	301	315	4	72	100	18.0	0.06	1.4
3557	3	3	367	19	19.31578947368421	5.67	56.59	11.1	11.8	13.1	10.57	7.571428571428571	6.54	11.0	4.883242236024845	23.14	3.2	5.730475776397515	223	32	1528	1575	14	322	493	23.0	0.04	1.5
3558	3	3	340	11	30.90909090909091	3.42	57.47	14.9	11.2	18.4	7.96	11.4	6.99	15.0	6.718879032258064	19.77	2.5	5.921838709677418	247	16	1316	1346	8	310	408	38.8	0.03	1.3
3559	3	2	799	51	15.666666666666666	7.19	53.96	18.3	10.0	23.3	6.75	13.5	8.08	10.0	8.537611827523675	42.91	2.2	6.331836913157364	590	20	2831	2921	14	709	870	50.6	0.02	1.2
3560	3	3	483	28	17.25	6.41	80.31	6.1	7.5	7.3	6.96	6.571428571428571	6.2	7.0	3.7874412191582	27.24	1.6	1.62704709724238	340	15	1794	1854	26	424	539	16.3	0.06	1.3
3561	3	3	285	13	21.923076923076923	4.91	64.75	10.0	11.2	12.2	9.35	9.0	6.77	9.0	4.859517045454545	17.51	2.6	5.0386609375	190	22	1162	1192	11	256	360	23.3	0.04	1.4
3562	3	3	340	15	22.666666666666668	4.97	53.04	12.4	11.6	13.2	8.36	7.571428571428571	6.36	12.0	5.0419431427678845	19.45	3.0	5.191086597938144	210	24	1273	1324	11	291	427	26.5	0.04	1.5
3563	3	4	461	29	15.89655172413793	7.02	77.37	7.2	8.8	8.6	7.08	6.857142857142857	6.9	7.0	4.291755405884437	25.71	2.1	2.619925534680373	323	21	1691	1750	21	403	542	19.2	0.05	1.3
3564	4	4	388	21	18.476190476190474	6.03	64.95	9.9	9.7	11.1	8.25	8.333333333333334	7.24	10.0	5.166506051873199	22.74	2.6	3.9942766186359275	258	20	1508	1548	15	347	487	23.1	0.04	1.4
3565	4	3	494	22	22.454545454545453	5.07	46.71	12.8	12.5	13.5	9.93	12.0	6.98	13.0	5.1036825802784875	29.39	3.4	5.2094687695368	299	46	1919	2001	17	414	645	24.4	0.04	1.6
3566	4	4	410	15	27.333333333333332	4.03	57.54	12.8	11.0	14.8	8.43	11.0	7.44	11.0	5.9052842465753415	23.9	2.6	4.502310502283105	286	23	1581	1627	12	365	497	30.4	0.03	1.4
3567	4	3	478	27	17.703703703703702	6.12	73.81	8.6	9.0	11.0	8.36	6.0	6.19	9.0	4.522672514619883	28.41	2.3	3.170558333333333	336	20	1888	1934	19	432	582	22.7	0.04	1.3
3568	5	4	388	20	19.4	5.68	68.2	8.7	10.7	10.1	8.41	8.666666666666666	7.19	9.0	4.716192608016657	22.81	2.5	4.065270900572618	249	30	1502	1553	17	339	477	19.9	0.05	1.4
3569	3	4	439	22	19.954545454545453	5.57	78.28	6.9	10.0	9.7	8.94	7.0	7.05	7.0	4.26832738095238	26.34	2.0	3.825314136904762	290	30	1736	1793	21	384	512	18.3	0.05	1.3
3570	5	4	618	38	16.263157894736842	7.04	-110.22	73.1	27.8	90.1	10.12	10.166666666666666	15.31	74.0	27.27911731843575	36.83	4.1	31.4273009310987	366	56	2426	2507	3	537	834	179.0	0.01	1.6
3571	4	4	414	19	21.789473684210527	5.35	61.19	11.4	9.7	12.2	6.85	6.0	6.96	12.0	5.289637205201675	22.02	2.5	3.6522442583204766	271	17	1433	1499	13	349	476	26.8	0.04	1.4
3572	2	1	298	1	298.0	0.34	-195.13	114.0	0.0	144.8	6.7	54.0	20.19	114.0	43.156081081081076	16.88	2.3	47.42788918918919	254	10	1147	1149	1	296	351	296.0	0.0	1.2
3573	4	4	502	28	17.928571428571427	6.0	-383.59	182.3	0.0	232.0	9.55	7.571428571428571	28.47	0.0	67.14378494623655	30.36	3.4	78.23265591397849	355	31	2031	2067	1	465	650	465.0	0.0	1.4
3574	4	4	356	19	18.736842105263158	6.19	47.72	12.4	13.1	13.7	10.86	10.833333333333334	8.23	11.0	5.494125506072875	22.24	3.5	6.629118218623481	204	40	1459	1514	13	304	481	23.4	0.04	1.6
3575	3	3	1019	31	32.87096774193548	3.18	57.27	15.0	10.5	17.5	6.98	13.5	6.98	7.0	6.809156714579055	59.01	2.2	5.17905039835729	806	42	3972	4017	25	974	1229	39.0	0.03	1.3
3576	3	3	261	11	23.727272727272727	4.6	48.81	16.1	11.9	18.5	7.85	11.2	8.54	12.0	7.256803418803418	14.91	3.1	6.116270085470084	188	14	989	1015	6	234	336	39.0	0.03	1.4
3577	4	4	429	19	22.57894736842105	4.94	62.82	10.8	9.7	12.8	8.94	10.8	7.02	11.0	5.211247619047619	25.56	2.5	4.041720423280422	279	20	1689	1740	15	378	517	25.2	0.04	1.4
3578	4	3	423	26	16.26923076923077	6.86	71.44	7.4	10.0	7.5	6.9	6.5	6.44	7.0	3.9687411067193668	23.59	2.2	3.3278869565217386	281	32	1553	1606	22	368	510	16.7	0.06	1.4
3579	4	4	616	31	19.870967741935484	5.79	66.78	9.2	10.2	10.5	8.12	6.5	7.04	11.0	4.647750676691729	35.43	2.6	3.8871513383458645	378	38	2328	2412	25	532	758	21.3	0.05	1.4
3580	3	2	286	16	17.875	5.97	58.69	14.4	9.2	17.9	8.14	12.75	7.84	8.0	6.855963063552416	16.88	2.3	4.85112536664856	215	8	1125	1149	7	263	333	37.6	0.03	1.3
3581	3	2	458	24	19.083333333333332	5.58	48.74	18.2	11.2	21.8	7.21	26.5	7.87	8.0	8.032179547228727	25.97	2.4	6.666376216497527	348	18	1739	1768	9	427	546	47.4	0.02	1.3
3582	3	3	173	3	57.666666666666664	1.71	39.0	22.0	9.7	27.8	8.95	26.5	8.86	9.0	9.831555555555555	11.06	2.7	9.0313649122807	123	4	747	753	3	171	224	57.0	0.02	1.3
3583	3	3	317	13	24.384615384615383	4.53	67.93	10.9	10.4	12.6	6.74	15.0	6.93	7.0	5.521359649122806	17.55	2.2	4.100550877192982	235	16	1165	1195	10	285	367	28.5	0.04	1.3
3584	4	4	271	17	15.941176470588236	7.2	-46.78	48.7	0.0	59.1	10.29	7.125	12.13	49.0	18.262066523605146	16.17	4.2	20.466246351931332	164	24	1061	1101	2	233	371	116.5	0.01	1.6
3585	3	3	375	18	20.833333333333332	5.23	80.65	8.0	8.2	9.0	5.0	7.833333333333334	5.91	8.0	4.617403361344538	19.45	1.6	1.860747899159664	302	11	1289	1324	14	340	405	24.3	0.04	1.2
3586	3	3	361	15	24.066666666666666	4.53	21.36	18.4	10.1	14.6	6.86	10.8	6.8	7.0	5.923094495412844	20.02	4.7	4.188617370030581	264	15	1329	1363	10	327	580	32.7	0.03	1.8
3587	3	2	175	3	58.333333333333336	1.76	19.04	31.7	0.0	40.3	7.45	54.0	10.55	32.0	13.431058823529412	10.21	2.2	12.56629411764706	143	6	691	695	2	170	204	85.0	0.01	1.2
3588	2	2	255	13	19.615384615384617	5.39	91.55	5.9	3.1	6.5	3.25	9.0	7.15	9.0	4.320712938513768	12.74	1.0	0.3675360995850627	226	0	853	867	11	241	264	21.9	0.05	1.1
3589	4	4	621	30	20.7	5.46	-189.72	107.8	0.0	136.7	9.43	10.666666666666666	20.22	108.0	40.650007299270065	36.11	3.6	46.88911386861314	409	54	2386	2458	2	548	790	274.0	0.0	1.4
3590	2	2	580	19	30.526315789473685	3.49	61.13	13.5	9.7	16.3	7.56	14.0	7.12	14.0	6.307124242424242	33.17	2.2	4.732542272727272	425	20	2206	2258	15	528	671	35.2	0.03	1.3
3591	3	4	549	29	18.93103448275862	5.99	59.13	10.1	12.0	11.0	9.11	8.285714285714286	6.87	10.0	4.6393859503369335	32.6	3.0	5.215738041170499	332	56	2141	2219	23	471	716	20.5	0.05	1.5
3592	3	3	304	14	21.714285714285715	5.0	62.61	10.8	11.4	13.0	9.17	11.6	8.01	12.0	5.463301401107852	18.88	2.5	4.672072401433692	219	23	1259	1285	11	279	384	25.4	0.04	1.4
